item,name,party,partyLabel
,Mtoliki Sibanda,Q2582118,MDC
Q6386891,Kembo Mohadi,Q1910161,ZANU–PF
Q6915903,Moses Ndlovu,Q2582118,MDC
,Edward Mkhosi,Q2582118,MDC
Q6019041,Paul Themba Nyathi,Q2582118,MDC
,Abednico Ncube,Q1910161,ZANU–PF
,George Joe Ndlovu,Q2582118,MDC
Q3264301,Lovemore Moyo,Q2582118,MDC
Q7048451,Nomalanga Khumalo,Q2582118,MDC
,Innocent Chikiyi,Q1910161,ZANU–PF
,Lovemore Mupukuta,Q1910161,ZANU–PF
,Flora Bhuka,Q1910161,ZANU–PF
,Elick Mkandla,Q1910161,ZANU–PF
,Jaison Machaya,Q1910161,ZANU–PF
,Esther Nyauchi,Q1910161,ZANU–PF
,Renson Gasela,Q2582118,MDC
,Timothy Mukahlera,Q2582118,MDC
Q4926322,Blessing Chebundo,Q2582118,MDC
Q7378129,Rugare Gumbo,Q1910161,ZANU–PF
,Jorum Gumbo,Q1910161,ZANU–PF
,Bethel Makwembere,Q2582118,MDC
Q3081621,Francis Nhema,Q1910161,ZANU–PF
,Abednico Malinga,Q2582118,MDC
,Daniel Mackenzie Ncube,Q1910161,ZANU–PF
,Pearson Mbalekwa,Q1910161,ZANU–PF
Q3369338,Patrick Chinamasa,Q1910161,ZANU–PF
Q6285211,Joseph Made,Q1910161,ZANU–PF
Q5340066,Edna Madzongwe,Q1910161,ZANU–PF
Q1379403,Simba Makoni,Q1910161,ZANU–PF
Q3183430,Jonathan Moyo,Q1910161,ZANU–PF
Q85772479,July Moyo,Q1910161,ZANU–PF
,Nkosana Moyo,Q1910161,ZANU–PF
Q1399766,Joseph Msika,Q1910161,ZANU–PF
Q3274147,John Nkomo,Q1910161,ZANU–PF
Q5238373,David Parirenyatwa,Q1910161,ZANU–PF
Q7807530,Timothy Stamps,Q1910161,ZANU–PF
Q16016626,Josiah Tungamirai,Q1910161,ZANU–PF
Q19144163,David Karimanzira,Q1910161,ZANU–PF
,Peter Chanetsa,Q1910161,ZANU–PF
,Josiah Hungwe,Q1910161,ZANU–PF
,Welshman Mabhena,Q1910161,ZANU–PF
,Stephen Nkomo,Q1910161,ZANU–PF
Q27380169,Cephas Msipa,Q1910161,ZANU–PF
