@@,item,itemlabel,party,partylabel
->,Q105649282->NULL,Felix Mhona,Q1910161,ZANU-PF->ZANU–PF
->,Q16195944,Fortune Chasi,Q1910161,ZANU-PF->ZANU–PF
->,Q111281642->NULL,Francis Muchenje,Q1910161,ZANU-PF->ZANU–PF
->,Q111281643->NULL,Francis Mukwangwariwa,Q1910161,ZANU-PF->ZANU–PF
---,Q111281644,Fred Moyo,Q1910161,ZANU-PF
---,Q111281645,Fungai J Majome,Q1146616,MDC–T
+++,,Gertrude Chibagu,Q1910161,ZANU–PF
+++,,Gertrude Hungwa,Q1910161,ZANU–PF
---,Q111281646,Getrude Chibagu,Q1910161,ZANU-PF
---,Q111281647,Getrude Hungwa,Q1910161,ZANU-PF
->,Q111281648->NULL,Gift Chimanikire,Q1146616,MDC–T
->,Q111281649->NULL,Gladys Mathe,Q1146616,MDC–T
->,Q1533788->NULL,Godfrey Beremauro,Q1910161,ZANU-PF->ZANU–PF
->,Q111281650->NULL,Godfrey Gandawa,Q1910161,ZANU-PF->ZANU–PF
---,Q111281651,Godfrey N Malaba,Q1910161,ZANU-PF
->,Q111281652->NULL,Godfrey Sithole,Q1146616,MDC–T
+++,,Goodlucky Kwaramba,Q1910161,ZANU–PF
---,Q111281653,Harris Ncube,Q1910161,ZANU-PF
---,Q111281654,Hazvineyi Z Makari,,
->,Q5927511,Hubert Nyanhongo,Q1910161,ZANU-PF->ZANU–PF
->,Q16151660,Ignatious Chombo->Ignatius Chombo,Q1910161,ZANU-PF->ZANU–PF
->,Q111281655->NULL,Innocent Gonese,Q1146616,MDC–T
->,Q111281656->NULL,Innocent Pedzisai,Q1910161,ZANU-PF->ZANU–PF
->,Q111281657->NULL,Irene Zindi,Q1910161,ZANU-PF->ZANU–PF
+++,,Irimai Mukwishu,Q1146616,MDC–T
---,Q111281658,Iris Chiratidzo Mabuwa,Q1910161,ZANU-PF
---,Q111281659,Isaac Mackenzie,Q1910161,ZANU-PF
---,Q58007739,Jacob Mudenda,Q1910161,ZANU-PF
->,Q111281660->NULL,Jaison Passade,Q1910161,ZANU-PF->ZANU–PF
->,Q111281661->NULL,James Maridadi,Q1146616,MDC–T
+++,,Jasmine Toffa,Q15980776,MDC–N
---,Q111281662,Jeffrey Runzirwai,Q1910161,ZANU-PF
+++,,Jennifer Mhlanga,Q1910161,ZANU–PF
->,Q111281663->NULL,Jeppy Jaboon,Q1910161,ZANU-PF->ZANU–PF
+++,,Jeremiah Chiwetu,Q1910161,ZANU–PF
+++,,Joan Tsogorani,Q1910161,ZANU–PF
---,Q111281664,John Holder,Q1910161,ZANU-PF
->,Q981736,Joice Mujuru,Q1910161,ZANU-PF->ZANU–PF
->,Q3183430,Jonathan Moyo,Q1910161,ZANU-PF->ZANU–PF
->,Q111281665->NULL,Jonathan Samukange,Q327591,சுயே->Independent
---,Q6276249,Joram Gumbo,Q1910161,ZANU-PF
->,Q6282111,Joseph Chinotimba,Q1910161,ZANU-PF->ZANU–PF
---,Q6285211,Joseph Made,Q1910161,ZANU-PF
->,Q111281666->NULL,Joseph Mapiki,Q1910161,ZANU-PF->ZANU–PF
---,Q111281667,Joseph Tshuma,Q1910161,ZANU-PF
---,Q111281668,Josephat Madubeko,Q1910161,ZANU-PF
---,Q111281669,Josephine Value Chitembwe,Q1146616,MDC–T
+++,,Joyce Makonya,Q1146616,MDC–T
---,Q111281670,Judith Muzhavazhe,Q1146616,MDC–T
+++,,Judith Muzhavazhi,Q1146616,MDC–T
---,Q111281671,Justice Mayor Wadyajena,Q1910161,ZANU-PF
+++,,Kalisto Gwanetsa,Q1910161,ZANU–PF
---,Q111281672,Kalitso Gwanetsa,Q1910161,ZANU-PF
->,Q85850886,Kazembe Kazembe,Q1910161,ZANU-PF->ZANU–PF
->,Q6386891,Kembo Mohadi,NULL->Q1910161,NULL->ZANU–PF
->,Q111281673->NULL,Kennedy Matimba,Q1910161,ZANU-PF->ZANU–PF
---,Q111281674,Kenneth S. Musanhi,Q1910161,ZANU-PF
->,Q111281675->NULL,Kindness Paradza,Q1910161,ZANU-PF->ZANU–PF
->,Q111281676->NULL,Kizito Chivamba,Q1910161,ZANU-PF->ZANU–PF
+++,,Kudakwashe Bhasikiti,Q1910161,ZANU–PF
+++,,Kudzanai Chipanga,Q1910161,ZANU–PF
---,Q111281677,Kudzanayi Chipanga,Q1910161,ZANU-PF
->,Q111281678->NULL,Ladislus Ndoro,Q1910161,ZANU-PF->ZANU–PF
->,Q111281679->NULL,Lamson Moyo,Q1910161,ZANU-PF->ZANU–PF
---,Q111281680,Leonard Chikomba,Q1910161,ZANU-PF
->,Q111281681->NULL,Lilian Zemura,Q1910161,ZANU-PF->ZANU–PF
->,Q111281682->NULL,Lovemore Matuke,Q1910161,ZANU-PF->ZANU–PF
+++,,Lucia Chitura,Q1910161,ZANU–PF
->,Q111281683->NULL,Lucia Matibenga,Q1146616,MDC–T
+++,,Luke Masamvu,Q1910161,ZANU–PF
---,Q111281684,Luke Musamvu,Q1910161,ZANU-PF
->,Q111281685->NULL,Lungisani Nleya,Q1910161,ZANU-PF->ZANU–PF
+++,,Lwazi Sibanda,Q1146616,MDC–T
->,Q93452160,Mabel Chinomona,Q1910161,ZANU-PF->ZANU–PF
->,Q111281687->NULL,Mabel Kaundikiza,Q1910161,ZANU-PF->ZANU–PF
---,Q111281688,Mabel Matirangano Nkatazo,Q1910161,ZANU-PF
+++,,Macdonald Muchetwa,Q1910161,ZANU–PF
->,Q111281689->NULL,Madodana Sibanda,Q1910161,ZANU-PF->ZANU–PF
->,Q111281690->NULL,Mafios Vutete,Q1910161,ZANU-PF->ZANU–PF
+++,,Mafoko Labode,Q1146616,MDC–T
---,Q111281691,Maideyi Mpala,Q1146616,MDC–T
+++,,Mail Nkomo,Q1910161,ZANU–PF
->,Q111281692->NULL,Makhosini Hlongwane,Q1910161,ZANU-PF->ZANU–PF
---,Q111281693,Malach Nkomo,Q1910161,ZANU-PF
+++,,Malachi Nkomo,Q1910161,ZANU–PF
+++,,Mandi Chimene,Q1910161,ZANU–PF
---,Q111281694,Mandi M. Chimene,Q1910161,ZANU-PF
---,Q111281695,Mapetere D. V. Mawere,Q1910161,ZANU-PF
+++,,Marbel Nkatazo,Q1910161,ZANU–PF
->,Q111281696->NULL,Margaret Matienga,Q1146616,MDC–T
->,Q111281698->NULL,Martin Khumalo,Q1910161,ZANU-PF->ZANU–PF
+++,,Masaiti Muzungu,Q1146616,MDC–T
->,Q97816798,Masango Matambanadzo,NULL->Q1910161,NULL->ZANU–PF
+++,,Mathias Ndlovu,Q1910161,ZANU–PF
---,Q111281700,Mathias S. Ndlovu,Q1910161,ZANU-PF
->,Q111281701->NULL,Mathias Tongofa,Q1910161,ZANU-PF->ZANU–PF
---,Q111281702,Melenia Mahiya,Q1910161,ZANU-PF
+++,,Memory Munochinzwa,Q1146616,MDC–T
---,Q111281704,Metrine Mdau,Q1910161,ZANU-PF
+++,,Metrine Mudau,Q1910161,ZANU–PF
->,Q6828646,Michael Bimha,Q1910161,ZANU-PF->ZANU–PF
->,Q111281705->NULL,Michael Madanha,Q1910161,ZANU-PF->ZANU–PF
->,Q111281706->NULL,Mike Gava,Q1910161,ZANU-PF->ZANU–PF
+++,,Miriam Chikukwa,Q1910161,ZANU–PF
---,Q111281707,Miriam Makweya,Q1910161,ZANU-PF
+++,,Molly Mnkandla,Q1910161,ZANU–PF
->,Q111281708->NULL,Monica Chigudu,Q1910161,ZANU-PF->ZANU–PF
->,Q111281709->NULL,Moses Manyengawana,Q1146616,MDC–T
---,Q111281710,Mthokozisi M. Mpofu,Q1910161,ZANU-PF
+++,,Mthokozisi Mpofu,Q1910161,ZANU–PF
---,Q111281711,Mubvumbi Mawere,Q1910161,ZANU-PF
->,Q6935586,Munacho Mutezo,Q1910161,ZANU-PF->ZANU–PF
->,Q111281712->NULL,Munyaradzi Kereke,Q1910161,ZANU-PF->ZANU–PF
->,Q111281713->NULL,Never Khanye,Q1910161,ZANU-PF->ZANU–PF
+++,,Newten Kachepa,Q1910161,ZANU–PF
---,Q111281714,Newton Kachepa,Q1910161,ZANU-PF
->,Q7025447,Nicholas Goche,Q1910161,ZANU-PF->ZANU–PF
->,Q111281715->NULL,Nomathemba Ndlovu,Q1146616,MDC–T
---,Q111281716,Nomsa Jenifer Mlanga,Q1910161,ZANU-PF
---,Q111281717,Noveti Muponora,Q1910161,ZANU-PF
->,Q7070929,Nyasha Chikwinya,Q1910161,ZANU-PF->ZANU–PF
->,Q29588993,Obedingwa Mguni,Q1910161,ZANU-PF->ZANU–PF
->,Q2011278,Obert Mpofu,Q1910161,ZANU-PF->ZANU–PF
->,Q111281718->NULL,Oliver Mandipaka,Q1910161,ZANU-PF->ZANU–PF
---,Q111281719,Omega S Hungwe,Q1910161,ZANU-PF
->,Q7095508,Oppah Muchinguri,Q1910161,ZANU-PF->ZANU–PF
---,Q98112108,Owen Ncube,Q1910161,ZANU-PF
+++,,Paddy Zhanda,Q1910161,ZANU–PF
->,Q111281720->NULL,Paradzai Chakona,Q1910161,ZANU-PF->ZANU–PF
->,Q3369338,Patrick Chinamasa,Q1910161,ZANU-PF->ZANU–PF
->,Q7149825,Paul Chimedza,Q1910161,ZANU-PF->ZANU–PF
->,Q111281721->NULL,Paul Madzore,Q1146616,MDC–T
---,Q85678901,Paul Mavima,Q1910161,ZANU-PF
->,Q107491736->NULL,Peter Haritatos,Q1910161,ZANU-PF->ZANU–PF
->,Q111281723->NULL,Peter Mataruse,Q1910161->Q1146616,ZANU-PF->MDC–T
->,Q111281724->NULL,Petronella Kagonye,Q1910161,ZANU-PF->ZANU–PF
+++,,Phelela Masuku,Q1146616,MDC–T
---,Q111281725,Phelele Masuku,Q1146616,MDC–T
+++,,Philina Zhou,Q1910161,ZANU–PF
->,Q111281727->NULL,Phineas Chiota,Q1910161,ZANU-PF->ZANU–PF
---,Q111281728,Pius Madzinga,Q1910161,ZANU-PF
->,Q7245611,Priscilla Misihairabwi-Mushonga,Q15980776,NULL->MDC–N
->,Q111281729->NULL,Prosper Mutseyami,Q1146616,MDC–T
---,Q111281730,Psychology Mazivisa,Q1910161,ZANU-PF
->,Q111281731->NULL,Ray Kaukonde,Q1910161,ZANU-PF->ZANU–PF
->,Q111281732->NULL,Raymore Machingura,Q1910161,ZANU-PF->ZANU–PF
---,Q111281733,Reggie Moyo,Q1146616,MDC–T
+++,,Reggie Moyoe,Q1146616,MDC–T
->,Q7317489,Reuben Marumahoko,Q1910161,ZANU-PF->ZANU–PF
+++,,Revai Muguti,Q1146616,MDC–T
->,Q111281734->NULL,Robert Mukwena,Q1910161,ZANU-PF->ZANU–PF
->,Q111281735->NULL,Robson Mavenyengwa,Q1910161,ZANU-PF->ZANU–PF
->,Q111281736->NULL,Ronald Muderedzwa,Q1910161,ZANU-PF->ZANU–PF
+++,,Roseline Makoni,Q1910161,ZANU–PF
---,Q111281737,Roselyn Nkomo,Q1146616,MDC–T
->,Q111281738->NULL,Rossy Mpofu,Q1910161,ZANU-PF->ZANU–PF
---,Q111281739,Sabbina Mangwende,Q1910161,ZANU-PF
+++,,Sabina Mangwende,Q1910161,ZANU–PF
+++,,Sabina Thembani,Q1910161,ZANU–PF
+++,,Samson Mukanduri,Q1910161,ZANU–PF
---,Q111281740,Samson T. Mukanduri,Q1910161,ZANU-PF
->,Q7412813,Samuel Undenge,Q1910161,ZANU-PF->ZANU–PF
->,Q111281741->NULL,Sarah Mahoka,Q1910161,ZANU-PF->ZANU–PF
->,Q7428343,Saviour Kasukuwere,Q1910161,ZANU-PF->ZANU–PF
---,Q111281742,Settlement Chikwinya,Q1146616,MDC–T
->,Q111281743->NULL,Shadreck Mashayamombe,Q1910161,ZANU-PF->ZANU–PF
+++,,Sibusisiwe Budha,Q1146616,MDC–T
+++,,Sikhanyisiwe Mpofu,Q1910161,ZANU–PF
->,Q111281744->NULL,Simbaneuta Mudarikwa,Q1910161,ZANU-PF->ZANU–PF
+++,,Simon Chidakwa,Q1146616,MDC–T
---,Q111281745,Simon Chidhakwa,Q1146616,MDC–T
->,Q111281746->NULL,Simon Musanhu,Q1910161,ZANU-PF->ZANU–PF
->,Q111281747->NULL,Sipho Dube,Q1146616,MDC–T
---,Q111281748,Sithemba Gumbo,Q1910161,ZANU-PF
->,Q16733535,Sithembiso Nyoni,Q1910161,ZANU-PF->ZANU–PF
->,Q111281749->NULL,Solomon Madzore,Q1146616,MDC–T
->,Q111281750->NULL,Soul Ncube,Q1910161,ZANU-PF->ZANU–PF
+++,,Spiwe Muchenje,Q1146616,MDC–T
->,Q7641876,Supa Mandiwanzira,Q1910161,ZANU-PF->ZANU–PF
->,Q7660812,Sylvester Nguni,Q1910161,ZANU-PF->ZANU–PF
->,Q43667129,Tabetha Kanengoni Malinga->Tabetha Kanengoni-Malinga,Q1910161,ZANU-PF->ZANU–PF
+++,,Tafanana Zhou,Q1910161,ZANU–PF
->,Q111281751->NULL,Tapiwa Mashakada,Q1146616,MDC–T
+++,,Tapiwa Matangaidze,Q1910161,ZANU–PF
---,Q111281752,Tapiwanashe Matangaidze,Q1910161,ZANU-PF
->,Q111281753->NULL,Tariro Mtingwende,Q1910161,ZANU-PF->ZANU–PF
->,Q111281754->NULL,Temba Mliswa,Q1910161,ZANU-PF->ZANU–PF
->,Q111281755->NULL,Tendai Savanhu,Q1910161,ZANU-PF->ZANU–PF
->,Q111281756->NULL,Tendayi Makunde,Q1910161,ZANU-PF->ZANU–PF
---,Q111281757,Tendayi P. Zhanda,Q1910161,ZANU-PF
---,Q111281758,Terence Mukupe,Q1910161,ZANU-PF
->,Q111281759->NULL,Teti Banda,Q1146616,MDC–T
->,Q111281760->NULL,Thabitha Khumalo,Q1146616,MDC–T
---,Q111281761,Thomas Maseko,Q1910161,ZANU-PF
+++,,Ticharwa Madondo,Q1910161,ZANU–PF
---,Q111281762,Tinashe Maduza,Q1910161,ZANU-PF
->,Q111281763->NULL,Tionei Melody Dziva,Q1910161,ZANU-PF->ZANU–PF
---,Q111281764,Toendepi Matangira,Q1910161,ZANU-PF
->,Q111281765->NULL,Tongai Muzenda,Q1910161,ZANU-PF->ZANU–PF
---,Q111281766,Tongesai Mudambo,Q1910161,ZANU-PF
+++,,Tongesayi Mudambo,Q1910161,ZANU–PF
+++,,Tose Sansole,Q1146616,MDC–T
---,Q111281767,Tose Wesley Sansole,Q1146616,MDC–T
->,Q111281768->NULL,Trevor Saruwaka,Q1146616,MDC–T
---,Q111281769,Tshinga J Dube,Q1910161,ZANU-PF
->,Q111281770->NULL,Tsitsi Gezi,Q1910161,ZANU-PF->ZANU–PF
->,Q111281771->NULL,Unganai Tarusenga,Q1146616,MDC–T
+++,,Value Chitembwe,Q1146616,MDC–T
+++,,Vincent Mawere,Q1910161,ZANU–PF
->,Q7964549,Walter Chidhakwa,Q1910161,ZANU-PF->ZANU–PF
->,Q7965696,Walter Mzembi,Q1910161,ZANU-PF->ZANU–PF
---,Q111281772,Washington Masvaire,Q1910161,ZANU-PF
+++,,Washington Musvaire,Q1910161,ZANU–PF
->,Q111281773->NULL,Webster Maondera,Q1146616,MDC–T
->,Q7978955,Webster Shamu,Q1910161,ZANU-PF->ZANU–PF
+++,,William Dhewa,Q1910161,ZANU–PF
---,Q111281774,William M. Dhewa,Q1910161,ZANU-PF
->,Q111281775->NULL,William Mutomba,Q1910161,ZANU-PF->ZANU–PF
->,Q111281776->NULL,Willias Madzimure,Q1146616,MDC–T
---,Q111281777,Win Busayi Mlambo,Q1910161,ZANU-PF
+++,,Win Mlambo,Q1910161,ZANU–PF
->,Q111281778->NULL,Wonder Mashange,Q1910161,ZANU-PF->ZANU–PF
+++,,Yeukai Simbanegavi,Q1910161,ZANU–PF
->,Q111281779->NULL,Zenzo Sibanda,Q1910161,ZANU-PF->ZANU–PF
->,Q85678984,Ziyambi Ziyambi,Q1910161,ZANU-PF->ZANU–PF
