@@,item,name,party,gender
->,Q111281746->NULL,Simon Musanhu,Q1910161,male
->,Q111281747->NULL,Sipho Dube,Q1146616,female
->,Q111281748->NULL,Sithemba Gumbo,Q1910161,female
->,Q16733535,Sithembiso Nyoni,Q1910161,female
->,Q111281749->NULL,Solomon Madzore,Q1146616,male
->,Q111281750->NULL,Soul Ncube,Q1910161,male
->,Q7641876->NULL,Supa C. Mandiwanzira,Q1910161,male
->,Q7660812,Sylvester Nguni,Q1910161,male
---,Q43667129,Tabetha Kanengoni Malinga,Q1910161,female
+++,,Tabetha Kanengoni-Malinga,Q1910161,female
->,Q111281751->NULL,Tapiwa Mashakada,Q1146616,male
->,Q111281752->NULL,Tapiwanashe Matangaidze,Q1910161,male
->,Q111281753->NULL,Tariro Mtingwende,Q1910161,female
->,Q111281754->NULL,Temba Mliswa,Q1910161,male
---,Q7410395,Tendai Biti,Q1146616,male
->,Q111281755->NULL,Tendai Savanhu,Q1910161,male
->,Q111281756->NULL,Tendayi Makunde,Q1910161,male
->,Q111281757->NULL,Tendayi P. Zhanda,Q1910161,male
->,Q111281758->NULL,Terence Mukupe,Q1910161,male
->,Q111281759->NULL,Teti Banda,Q1146616,female
->,Q111281760->NULL,Thabitha Khumalo,Q1146616,female
->,Q7710066,Thamsanqa Mahlangu,Q1146616,male
---,Q9358456,Thokozani Khuphe,Q1146616,female
->,Q111281761->NULL,Thomas Maseko,Q1910161,male
->,Q111281762->NULL,Tinashe Maduza,Q1910161,male
->,Q111281763->NULL,Tionei Melody Dziva,Q1910161,female
->,Q111281764->NULL,Toendepi Matangira,Q1910161,male
->,Q111281765->NULL,Tongai Muzenda,Q1910161,male
->,Q111281766->NULL,Tongesai Mudambo,Q1910161,male
->,Q111281767->NULL,Tose Wesley Sansole,Q1146616,male
->,Q111281768->NULL,Trevor Saruwaka,Q1146616,male
->,Q111281769->NULL,Tshinga J Dube,Q1910161,male
->,Q111281770->NULL,Tsitsi Gezi,Q1910161,female
->,Q111281771->NULL,Unganai Tarusenga,Q1146616,male
->,Q7964549->NULL,Walter Chidhakwa,Q1910161,male
->,Q7965696->NULL,Walter Mzembi,Q1910161,male
->,Q111281772->NULL,Washington Masvaire,Q1910161,male
->,Q111281773->NULL,Webster Maondera,Q1146616,male
->,Q7978955->NULL,Webster Shamu,Q1910161,male
->,Q111281774->NULL,William M. Dhewa,Q1910161,male
->,Q111281775->NULL,William Mutomba,Q1910161,male
->,Q111281776->NULL,Willias Madzimure,Q1146616,male
->,Q111281777->NULL,Win Busayi Mlambo,Q1910161,male
->,Q111281778->NULL,Wonder Mashange,Q1910161,male
->,Q111281779->NULL,Zenzo Sibanda,Q1910161,male
->,Q85678984->NULL,Ziyambi Ziyambi,Q1910161,male
